Reviewer,Rating,Biased,Review Text
MauricioH,5.0,No,"This TV really impressed with its stunning picture quality as it provides rich colors and deep blacks that enhances any viewing experience. The webOS platform is intuitive and fast, providing seamless access to streaming apps and features. The built-in sound is solid but pairing it with a soundbar may provide a more immersive audio experience."
JoshuaA,5.0,Yes,"The color looks amazing, picture is crystal clear and couldn’t look better."
DennisD,5.0,Yes,It fit perfectly in the intended spot. Picture is great. Worked great with my soundbar.
DianaB,5.0,No,"Great picture and overall look 
Very happy with this purchase"
ElinaK,5.0,Yes,This TV is awesome. Highly recommended. The picture is amazing.
QuickTVPurchase,5.0,No,"Great value, picture is crystal clear and the price was exceptional."
Scotty,5.0,No,"Tv is great, excellent picture and sounds good as well!"
sammie,5.0,No,excellant tv for the price! Just what we were looking for and it was instock!
SAMG,4.0,No,Overall good tv given the price. The screen quality is a bit low.
AngelaB,1.0,Yes,"I recently purchased an LG 65"" TV from Best Buy, and it has been nothing short of a frustrating experience. The remote that came with the TV does not support the advanced features of the television, making it impossible to access HDMI for gaming or other essential functions. When I reached out to customer service for help, they informed me that I would need to pay an additional $200 for set up assistance and buy  a compatible remote. & I  am a paid member of the annual geek squad repair services! This is completely unacceptable for such an expensive product. I am now left wanting a full refund and a bottle of Excedrin for the headache this ordeal has caused me. Save yourself the trouble and shop elsewhere!"
JayKay,5.0,No,Very happy with our purchase. Light but sturdy. This is our second LG TV and couldn’t be more please. Easy unboxing and friendly user manual. Would buy LG again. And the price point was a killer too!
Macro47,4.0,No,"The TV is great. However, you cannot pair an older Magic remote with it, and sometimes, the interface seems a bit slow and laggy. It has a Great Picture and a nice, thin border, and it is easy to set up."
Nic2,5.0,No,I always purchase LG televisions. This one did not disappoint.  The color is great and the sound is awesome.  The sound compliments my LG soundbar.
RobertG,5.0,Yes,Great purchase. Very detailed and amazing sound. Will purchase again if I need another tv and will pass around the recommendation
JoshuaT,5.0,No,Super easy set up and high quality picture. Love the vividness of the color and it was all ready to go in under five minutes
Anonymous,5.0,No,"Great picture, easy mounting on the wall and a great price! Really glad I purchased this tv for my bar, highly recommend!"
Jay22,5.0,No,"Great 4k tv, smooth interface, got it for 400 and enjoying it, only one con that it’s not that bright"
CarmenJ,4.0,No,Excellent picture quality. The sound is crisp too. The set up was easy as well. It was just what I was needed for my family room.
Gregriv,5.0,Yes,Great TV for the price! Couldn’t decide between 75” and 65” but this was the perfect size.
Brooks,5.0,No,I purchased three tvs. Two for my gym one for my office and they look and work great.
TracyM,5.0,No,Great tv for the price.  Good value.  I was able to walk in and get the one I wanted.
longhorn1,5.0,Yes,Great TV for the money. Best Buy had a great sale on this TV so I’m very satisfied with my purchase.
NigggaB,5.0,No,Easy to use. Great picture quality for the price. Love the ease of the remote
VollieM,5.0,No,"Worked great, easy installation, very clear and easy to follow instructions."
Casey,5.0,No,So far TV is working out great. Picture quality is nice!
SteveO,5.0,Yes,Amazing! This is my second TV both in my living room and now my bedroom!
Colty2015,5.0,No,"Great for my son, strictly used to play video games. Picture is great."
Iska,5.0,No,Nice picture the sound quality is also good it’s really a good product
VictoriaV,5.0,No,Easy online process. The item was a great deal. Great picture quality.
BradleyM,5.0,No,The TV was well packaged and easy to set up. The picture is awesome.
Turtleboy318,5.0,No,I’m really enjoying my new TV. I walked in and I knew exactly what I was looking for.
LuisC,5.0,No,Tv is beautiful and works great great.the picture is awesome !
user164769,5.0,No,Excellent quality and value. Very pleasant buying experience.
Evie,5.0,Yes,The best purchase I have bought. Was not disappointed at all.
Nick,5.0,Yes,Amazing TV. Would recommed to anybody needing to upgrade.
DonK061841,5.0,No,We love the TV and it is more than we expected. Would recommend a LG to anyone looking for a tv.
AlyssaA,5.0,No,Love it. Beautiful resolution. Love what it looks like.
xypher89,5.0,No,great tv good size modern look and smart tv audio is ok
Lovethecover,5.0,Yes,"Beautiful picture, perfect screen size for family room to watch movies and sports!"
DavidN,5.0,No,"For my mother on her birthday, she loves talking to the tv"
Michael,5.0,No,Great Smart Tv for the price point. Awesome picture.
AlondraM,5.0,No,Great deal i love my new television great service s
Jgon1014,5.0,Yes,I love this tv… this tv is perfect for the price. I would recommend
RobertH,5.0,No,This TV works with the standard wall mount system.
HendryckG,5.0,Yes,Excellent purchase and excellent treatment from the staff... thanks Best Buy
MatthewM,5.0,No,"Very nice tv, would buy another. Very easy to navigate the Home Screen, which is why I bought it."
TammyB,5.0,No,Easy to install and configure. Great purchase and great price.
DylanH,5.0,Yes,This TV is absolutely amazing! It has some of the best color contrast I have ever seen!
BobbyH,5.0,No,Very good customer service and a very good tv and bought a Geek Squad warranty.
AllyD214,4.0,No,Love it. The tv is awesome. Sound could be louder for such a big tv. But I’ll add a soundbar to it.
Drodriguez,5.0,No,Good quality tv. Responsive and good size for the bedroom.
Massager,4.0,No,Love the TV but set up was and is challenging! Better instructions needed
DreeTill,4.0,No,Great Tv this was a gift for my Mother.  She loves it.
SeanS,5.0,No,"Everything about this TV is great, from the size, the price and the picture"
NormanH,5.0,No,"Have so beautiful images, I really love playing in this one"
JaclynG,5.0,No,"Great Quality, great sound and the brightness is awesome."
Eddie,5.0,No,Great tv and I would recommend this to other people.
LGTV,4.0,No,"So far so good! This is a really good deal, 65” TV for $400."
RobertoE,5.0,No,"The LG TV is great, all are appliances are LG sincu 2019."
GregJ,4.0,No,Solid quality for the price of the tv. Csnt go wrong with LG
Joshua1958,1.0,Yes,"While I am quite happy with the TV itself, the customer service was the worst that I could have anticipated.  At the time of the pickup, I was scheduled for open heart triple bypass surgery. My daughter and I arrived at the Best Buy in Germantown, MD, in my Jeep Cherokee with a roof rack. We requested that the TV be placed on the roof rack and that we would tie it down. Your associates stated that they could not do that and said that if we dropped the back seats, that they believed they could squeeze the TV in the back. I said that I did not believe it would fit, but essentially told either that or that they would not help put the TV on the roof.  I gave them the benefit of the doubt and they attempted to shove the TV inside the back. It stuck out the back rather dangerously. They said that if my daughter and I moved the front seats as far as possible, that maybe it would work. I moved the driver seat as far forward as possible, barely being able to fit behind the steering wheel. Also, in the process, your associates badly scruffed the inside of my newly purchased Jeep Cherokee Limited. They had the audacity to ask if they could do anything else, and I said no, that they had NOT been helpfully. I used the rope I purchased to put the TV on the roof to tie down the hatchback as far as possible. I did not feel safe driving home under those conditions, but had no option. Once we got back home, my wife had to help our daughter and I get the TV out of the vehicle; made very difficult, thanks to your associates. Upon unloading the TV, We saw that the interior was badly scuffed. I will most likely NEVER buy another product from Best Buy and have begun to tell friends my experience. FYI - I am a Rewards member."
AndreI,3.0,No,"Overall it’s not a bad tv, but if you want to youse browsing it’s the nightmare…"
MiguelM,2.0,No,Tv could have came with a better remote control than the traditional one.
Alireza,2.0,No,good quality pictures  but very slowly progressing in open application
KevinUTAH,1.0,Yes,"Why You Shouldn't Buy 2024 LG UT70 ;(
Bottom Line: ""The LG UT7570 is an entry-level TV released in 2024. It's a 60Hz option and doesn't have modern features like local dimming, VRR support, or HDMI 2.1 bandwidth""

The LG UT7570 is just okay for ‘mixed’ usage.
Unfortunately, it has awful contrast and doesn't get bright enough for use in a well-lit room, so it doesn't look very good regardless of the lighting in your room.""  The TV's response time is only decent, so fast motion has noticeable blur behind it.  If you're looking for a TV to pair with your modern gaming console or PC, it isn't a good option since it lacks HDMI 2.1 bandwidth, 4k @ 120Hz, and VRR support; you're limited to 4k @ 60Hz.

VERY Slow smart interface.  Cheap & below the standarrds of minimum acceptable TV we recommend.  Not worth you're time.

Build Quality:  The TV comes with two plastic feet. They're set wide apart and can't be adjusted, so they take up a lot of space, and you'll need a large cabinet for the larger sizes. The stand lifts the display about 2.91 inches above the table, so most soundbars fit underneath without blocking the screen."" 

The inputs are housed in a much smaller box than the LG UQ7590, which gives the back of the TV a cleaner look. Since the inputs are located in the middle, they're hard to reach if you have the TV wall-mounted. Unfortunately, there are no clips or anything to help with cable management.

The TV has decent build quality overall. It's mostly made of plastic, so it's light and feels a bit cheap, but the two feet hold the TV well enough that there are no major issues with stability. Unfortunately, my unit does have some uneven assembly near the top of the screen, so there's a small gap between the screen and the borders of the TV.


Contrast & Brightness:  The LG UT75 has awful contrast. Blacks are raised and look gray when highlights are also on the screen, and the TV lacks a local dimming feature to improve its contrast. Switching to Game Optimizer doesn't result in any noticeable difference in dark scene performance.  It has inadequate HDR brightness. It's not bright enough to display HDR content properly. Bright highlights don't stand out, and overall, this TV doesn't provide an impactful HDR experience."" 

*****The TV has disappointing SDR brightness. It's not bright enough to overcome glare in a well-lit room, so it's best suited for dark or moderately lit rooms.*****

Color Gamut/Volume:  The LG UT7570 has an okay color gamut, but it's not wide enough to display saturated colors in HDR.  All colors are undersaturated and very inaccurate.

The TV's color volume is mediocre. It does a bad job at displaying dark colors due to its awful contrast, and the TV isn't nearly bright enough to display colors at high luminance levels.


So… The LG UT75 has disappointing black uniformity, since the entire screen is blueish and cloudy."" 

The TV's gradient handling is adequate. There's some noticeable banding in dark grays, dark reds, dark blues, and bright greens, and dark greens have significant banding. It’s low-quality content smoothing is good. Details are preserved well, but there's still some noticeable macro blocking in dark scenes.
The LG UT7570 does an okay job at upscaling low-resolution content like DVDs or lower-resolution streams. Details aren't overly soft, but finer details are very hard to make out.

The TV uses pulse width modulation (PWM) to dim its backlight, which introduces flicker that can bother people who are sensitive to it. Unfortunately, it flickers at a slow 120Hz in all picture modes and at all brightness levels, so it can cause headaches and eye strain if you're sensitive to flicker.
Hard Facts - No Local Dimming, 60 Hz, Horrid Brightness = No Thanks
There are better choices.

For the US - TCL Q750G or QM751G | For EU/Asia/Australia - TCL C745 or C805

Bottom Line:

IPS Panel (50 & 70 Inch are VA Panels)

50/60 Hertz Refresh Rate

No HDMI 2.1

No Local Dimming

Awful/Slow Alpha 5-7 Processor.

Only 3 HDMI ports

No Variable Refresh Rate (VRR), FreeSync or G-SYNC

No DTS Support

No Dolby Atmos Support 

---

* LG QNED80T/QNED81T/QNED82T/QNED83T

IPS Panel (50 Inch is VA Panel)

50/60 Hertz Refresh Rate

No HDMI 2.1

No Local Dimming

Edge Lit Panel

Awful/Slow Alpha 5-7 Processor.

Only 3 HDMI ports

No FreeSync or G-SYNC

No DTS Support

No Dolby Atmos Support 

---

* LG QNED85T/QNED86T/QNED87T

IPS Panel (50 Inch is VA Panel)

Edge Lit

No G-SYNC

Better value TV's elsewhere 

---

* LG QNED99T

First & Foremost - 8K is POINTLESS in 2024 Still

General Reasons Why -

1. Lack of Content - There barely is enough 4K Content available, let alone 8K Content. Upscaling 720p or 1080p to 2160p is hard enough for some tv's let alone upscaling to 4320p

2. Value - You get far better value out of a 4K TV

3. HDMI 2.1 is still in its infancy and most tv's only can do 40GBPs not the full 48 GBPs of HDMI 2.1. HDMI 2.0 is limited to 8K@30. HDMI 2.1 is limited to 8K@60 as well."
Rmendoza,5.0,No,"Good tv for the price
Wife love it
No grabbing local channels but other than that great tv"
LoriG,5.0,No,New TV - great picture very clear and easy to set up - Love it!!
NayeliG,5.0,Yes,Perfect purchase for Xmas! 110% recommended would do it again
Layne,1.0,No,"Don’t waste your money unless you want a slow TV. Shouldn’t be labeled a smart TV, it’s so slow, it’s insane. Ours is only a couple months old and it takes 10 plus minutes (literally) to open Hulu and watch a show. The only thing it’s good for is if you have an Xbox, fire stick, or some kid of third party add on to use. The TV is painfully slow. I don’t recommend it"

Summary
Original Average Rating,4.59
Adjusted Average Rating (Non-Biased),4.62
